taxon_1	taxon_2	distance_KM	DNA	Morph
Msi_553_05	Mpr_404_03	8.4	0.003062834	0.72766784
Mst_510_01	Mpr_404_03	32.4	0.099175751	0.59458449
Mdo_537_01	Mrl_381_01	146.5	0.123065257	0.59563818
Mfa_507_01	Mrl_381_01	148.4	0.144765093	0.97631511
Mks_401_01	Mrl_381_01	98.4	0.099448297	0.6904143
Mro_554_01	Mrl_381_01	111.4	0.098442087	0.93074977
Mpi_508_01	Mrl_381_01	145	0.118927446	0.65586578
Mpi_508_03	Mrl_381_01	145	0.118927446	0.62168911
Mpr_404_03	Mrl_381_01	133.4	0.108457877	0.75120219
Msi_553_01	Mrl_381_01	126	0.103381444	0.66645314
Msi_553_05	Mrl_381_01	126	0.114912823	0.74140157
Mst_510_01	Mrl_381_01	160	0.104933827	0.84937626
Mpi_508_01	Mro_554_01	48	0.07905316	0.74638468
Mpi_508_03	Mro_554_01	48	0.07905316	0.6476832
Mpr_404_03	Mro_554_01	27.4	0.07021665	0.47605752
Msi_553_01	Mro_554_01	19.5	0.065810775	0.78877011
Msi_553_05	Mro_554_01	19.5	0.066912899	0.82486297
Mst_510_01	Mro_554_01	61	0.068311621	0.57711619
Msi_553_05	Msi_553_01	0	0.010768453	0.094685168
Mst_510_01	Msi_553_01	41.9	0.105446752	0.98173345
Mst_510_01	Msi_553_05	41.9	0.095759867	1.0528738
Mpa_392_01	Mwe_350_01	22.2	0.1230917	0.96052423
Mir_376_01	Mwe_350_01	85.8	0.121861906	0.48222715
Mrl_381_01	Mwe_350_01	70.3	0.102685619	0.5962424
Mfa_507_01	Mwe_350_01	94.2	0.159091471	0.72076266
Mks_401_01	Mwe_350_01	80.7	0.140968708	0.41763459
Mro_554_01	Mwe_350_01	81.5	0.126384803	0.53058526
Mpi_508_01	Mwe_350_01	91.5	0.122579064	0.70779057
Mpi_508_03	Mwe_350_01	91.5	0.122579064	0.62060167
Mpr_404_03	Mwe_350_01	86.7	0.123606852	0.47576016
Msi_553_01	Mwe_350_01	86.7	0.132071158	0.73584942
Msi_553_05	Mwe_350_01	86.7	0.123647958	0.78954275
Mst_510_01	Mwe_350_01	107.1	0.146879851	0.55728765
Mdo_537_01	Mwe_350_01	NA	NA	NA
Mwe_350_01	Mdo_537_01	NA	NA	NA
